movieId;title;genres;Title;Year;Rated;Released;Runtime;Genre;Director;Writer;Actors;Plot;Language;Country;Awards;Poster;Ratings;Metascore;imdbRating;imdbVotes;imdbID;Type;DVD;BoxOffice;Production;Website;Response;totalSeasons
1;Toy Story;Animation|Children's|Comedy;Toy Story;1995;G;22 Nov 1995;81 min;Animation, Adventure, Comedy;John Lasseter;John Lasseter, Pete Docter, Andrew Stanton;Tom Hanks, Tim Allen, Don Rickles;A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.;English;United States;Nominated for 3 Oscars. 28 wins & 23 nominations total;https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '96/100'}];96.0;8.3;1,004,768;tt0114709;movie;23 Mar 2010;$223,225,679;;;True;
2;Jumanji;Adventure|Children's|Fantasy;Jumanji;1995;PG;15 Dec 1995;104 min;Adventure, Comedy, Family;Joe Johnston;Jonathan Hensleigh, Greg Taylor, Jim Strain;Robin Williams, Kirsten Dunst, Bonnie Hunt;When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.;English, French;United States;4 wins & 11 nominations;https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '39/100'}];39.0;7.0;353,256;tt0113497;movie;;$100,499,940;;;True;
3;Grumpier Old Men;Comedy|Romance;Grumpier Old Men;1995;PG-13;22 Dec 1995;101 min;Comedy, Romance;Howard Deutch;Mark Steven Johnson;Walter Matthau, Jack Lemmon, Ann-Margret;John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.;English, Italian, German;United States;2 wins & 2 nominations;https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '46/100'}];46.0;6.6;28,520;tt0113228;movie;15 May 2007;$71,518,503;;;True;
4;Waiting to Exhale;Comedy|Drama;Waiting to Exhale;1995;R;22 Dec 1995;124 min;Comedy, Drama, Romance;Forest Whitaker;Terry McMillan, Ron Bass;Whitney Houston, Angela Bassett, Loretta Devine;Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.;English;United States;9 wins & 10 nominations;https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}];;5.9;11,363;tt0114885;movie;20 Jul 1999;$67,052,156;20th Century Fox;;True;
5;Father of the Bride Part II;Comedy;Father of the Bride Part II;1995;PG;08 Dec 1995;106 min;Comedy, Family, Romance;Charles Shyer;Albert Hackett, Frances Goodrich, Nancy Meyers;Steve Martin, Diane Keaton, Martin Short;George Banks must deal not only with his daughter's pregnancy, but also with his wife's.;English;United States;1 win & 2 nominations;https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '49/100'}];49.0;6.0;39,573;tt0113041;movie;25 Jan 2005;$76,594,107;;;True;
6;Heat;Action|Crime|Thriller;Heat;1995;R;15 Dec 1995;170 min;Action, Crime, Drama;Michael Mann;Michael Mann;Al Pacino, Robert De Niro, Val Kilmer;A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.;English, Spanish;United States;14 nominations;https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '76/100'}];76.0;8.3;664,234;tt0113277;movie;27 Jul 1999;$67,436,818;;;True;
7;Sabrina;Comedy|Romance;Sabrina;1954;Passed;15 Oct 1954;113 min;Comedy, Drama, Romance;Billy Wilder;Billy Wilder, Samuel A. Taylor, Ernest Lehman;Humphrey Bogart, Audrey Hepburn, William Holden;A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.;English, French;United States;Won 1 Oscar. 7 wins & 8 nominations total;https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '72/100'}];72.0;7.6;66,681;tt0047437;movie;10 Apr 2001;;Paramount Pictures;;True;
8;Tom and Huck;Adventure|Children's;Tom and Huck;1995;PG;22 Dec 1995;97 min;Adventure, Comedy, Drama;Peter Hewitt;Mark Twain, Stephen Sommers, David Loughery;Jonathan Taylor Thomas, Brad Renfro, Charles Rocket;Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.;English;United States;1 win & 5 nominations;https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}];;5.5;11,164;tt0112302;movie;03 Feb 2004;$23,920,048;;;True;
9;Sudden Death;Action;Sudden Death;1995;R;22 Dec 1995;111 min;Action, Crime, Thriller;Peter Hyams;Karen Elise Baldwin, Gene Quintano;Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry;A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.;English;United States;;https://m.media-amazon.com/images/M/MV5BYWEyODkwYTItZDI1ZC00ODhiLWFkNGMtMTU3NTk2ZGMxYjE3XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}];;5.8;35,391;tt0114576;movie;16 Sep 2003;$20,350,171;;;True;
10;GoldenEye;Action|Adventure|Thriller;GoldenEye;1995;PG-13;17 Nov 1995;130 min;Action, Adventure, Thriller;Martin Campbell;Ian Fleming, Michael France, Jeffrey Caine;Pierce Brosnan, Sean Bean, Izabella Scorupco;"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.";English, Russian, Spanish;United Kingdom, United States;Nominated for 2 BAFTA 2 wins & 8 nominations total;https://m.media-amazon.com/images/M/MV5BOWI0MTJlMjEtYTI0ZS00NWZiLWE1ZmItYzBlZTE5YTk3NTJiXkEyXkFqcGdeQXVyMTEwNDU1MzEy._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}];65.0;7.2;260,737;tt0113189;movie;24 Mar 2009;$106,429,941;;;True;
12;Dracula: Dead and Loving It;Comedy|Horror;Dracula: Dead and Loving It;1995;PG-13;22 Dec 1995;88 min;Comedy, Fantasy, Horror;Mel Brooks;Mel Brooks, Rudy De Luca, Steve Haberman;Leslie Nielsen, Mel Brooks, Peter MacNicol;Mel Brooks' parody of the classic vampire story and its famous film adaptations.;English, German;France, United States;;https://m.media-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '11%'}];;5.8;43,016;tt0112896;movie;18 Aug 2008;$10,772,144;;;True;
13;Balto;Animation|Children's;Balto;1995;G;22 Dec 1995;78 min;Animation, Adventure, Drama;Simon Wells;Cliff Ruby, Elana Lesser, David Steven Cohen;Kevin Bacon, Bob Hoskins, Bridget Fonda;An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.;English;United States, United Kingdom;5 nominations;https://m.media-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}];;7.1;45,177;tt0112453;movie;22 Aug 2006;$11,348,324;Universal Pictures;;True;
14;Nixon;Drama;Nixon;1995;R;05 Jan 1996;192 min;Biography, Drama, History;Oliver Stone;Stephen J. Rivele, Christopher Wilkinson, Oliver Stone;Anthony Hopkins, Joan Allen, Powers Boothe;A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.;English, Mandarin, Russian;United States;Nominated for 4 Oscars. 11 wins & 18 nominations total;https://m.media-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '66/100'}];66.0;7.1;31,626;tt0113987;movie;19 Aug 2008;$13,681,765;;;True;
15;Cutthroat Island;Action|Adventure|Romance;Cutthroat Island;1995;PG-13;22 Dec 1995;124 min;Action, Adventure, Comedy;Renny Harlin;Michael Frost Beckner, James Gorman, Bruce A. Evans;Geena Davis, Matthew Modine, Frank Langella;A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.;English, Spanish, Latin, French;United States, Italy, Germany, France;1 nomination;https://m.media-amazon.com/images/M/MV5BNjg0ZjIzMDYtNmUyNS00NzQxLWFhZGQtOGYzMzE0ZWEwM2UxXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg;[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '37/100'}];37.0;5.7;28,963;tt0112760;movie;22 May 2007;$10,017,322;;;True;
